购买车型,购买地点,购买经销商,购买时间,购买裸车价,空间,动力,操控,能耗,舒适性,外观,内饰,性价比,购车目的1,购车目的2,购车目的3,购车目的4,口碑
秦                        2016款 秦EV300 旗舰型,衡阳 ?,2016年2月,30.55?万元,12.8?千瓦时/百公里3894?公里,4,5,5,5,5,5,5,5,上下班,购物,自驾游,,【最满意的一点】很是满意秦的这个全系的性能和性价比的，它的外形很霸气和张扬，是很适合年轻一族，尤其是我们90后的需要的，动力感觉也很充沛和顺畅的，好车就是这样的让人满意。【最不满意的一点】作为一款新能源的汽车，它的外形和动力真的没有可以说的，该有的都有了，就唯一感觉后备箱不够宽大，除了装东西少之外还算不影响车的舒适性。【空间】车子的空间在我们三口之家用是正好的，而且作为一款新开发研制的新能源汽车，它的整体做工工艺还有布局都很合理的，这就体现在座椅和空间的利用率上了，座椅不累人而且很宽松厚重，空间可以让腿部和身体都不约束，感觉很舒服的。【动力】动力是没有问题的，在市区开也很好的提速的，这样的动力绝对是没有问题的，他们说的肉感，我也只能是呵呵了，确实神是充沛的动力，红绿灯路口还有拥堵的情...
秦                        2016款 秦EV300 尊贵型,北京 ?,北京鑫敏恒瑞鑫,2016年7月,15.98?万元                                补贴后,4,4,4,5,4,4,4,5,上下班,购物,接送小孩,,【最满意的一点】功能全。远程用手机打开空调，无钥匙启动，360度全景影像，续航给力，支持快充充电很快。【最不满意的一点】音响，音响，音响。最不满意的一点，完全不能忍，音质效果就像30块钱耳机的声音，感觉所有声音都混一块了，我自己买了一个300块钱的先锋篮牙音响放车上都比原装的音质好的多。音响的安装也非常的low，后备箱的那个音响线材是完全裸露的，看着真想给拆了。真心建议厂家换上音质好一点的音响，我不需要什么10个还是12个垃圾音响，给我装3个好音响就够了，拜拖。。【空间】后排比我家老锐志大【动力】足够用，时速100以内加速跟我开过的锐志，A4L没感觉出区别。100以后很少开到，无法比较【操控】说不清楚，给人感觉信心不足。【电耗】我平常充电是免费的【舒适性】20万到30万车的正常...
秦                        2016款 秦EV300 旗舰型,南京 ?,2016年2月,29.89?万元,15.3?千瓦时/百公里3792?公里,5,5,5,5,5,5,4,5,上下班,自驾游,,,【最满意的一点】定位新能源的秦从研发到现在一直就让人瞩目的，而它真的也对得起自己的这个定位，省钱省心还有它的外观和空间性能安全都超过其他车款，最关键的还是环保和节能，养车不费钱。【最不满意的一点】感觉在内饰上能再精致一点就更好了。【空间】空间大小正好还合适，因为个人的需要不同，认知也不一样的，我感觉秦的这个空间就是蛮可以的，而且它的座椅设计正好符合我的需要，带着老人出门老人也感觉很舒适的。【动力】动力上它的起步就很速度的，因为在市区开路上红绿灯路口过多，这个动力也没有给我拖后腿的，听说这车上高速也很不错的，等过几天上高速拉一下看看去。【操控】操控是很不错的，它的悬挂和底盘都很厚重和调教的很好，而且它的方向盘很不错，能要多少给多少没有空隙，档位的话，我也很满意的，油门一踩就上速度【...
秦                        2016款 秦EV300 尊荣型,北京 ?,北京环耀汽车,2016年7月,17.98?万元                                补贴后,4,4,4,4,4,4,4,4,上下班,购物,接送小孩,,【最满意的一点】配置很高，黑科技【最不满意的一点】高科技经常带来许多莫名其妙的问题，维修工人找不到哪里出的毛病。【空间】前后空间足够，就是高度空间有些局促。无论前排还是后排。【动力】电车的提速的确快，感觉只要油门深踩，想超谁都可以——飞一样的感觉【操控】方向盘比较轻，单手打轮很轻松。油门和制动刚开始不太习惯，尤其是脚刹很轻，油门又得深踩点才行。【耗电量】刚开始开，没充几次电，刚开始可能和新车磨合期，还有培养驾驶习惯有关，会耗电高些。【舒适性】真皮座椅比较舒适。包裹性不错，【外观】外面看着还可以吧，至少车尾尤其是尾灯的识别率挺高的。有人说屁股最难看，这要看各人喜好吧。【内饰】双色内饰看起来不错，座椅和门内侧开车能碰到的地方都是橙色软质材料。【性价比】如果价格再低点，减掉一些...
秦                        2016款 秦EV300 尊荣型,上海 ?,上海润迪,2016年6月,18.30?万元                                补贴后,4,5,5,5,4,4,5,5,上下班,购物,,,【最满意的一点】好多让我满意的地方，一个纯电动车7.9s的加速时间，就这一点我就相当满意。【最不满意的一点】现在还没发现不满意的地方~【空间】前排空间相当不错，一米九的人坐在里面估计都没啥问题，后排有些挤，后备箱很大，比混动的要大多了。【动力】我相信秦的车主除了配置最让人骄傲之外，动力也让人相当骄傲。油门踩下去之后，那猛烈的推背感一下就让人喜欢上了，简直是太刺激了。【操控】我也试驾过混动的，比混动的操控感受强多了，混动的是将电池放在了尾部，EV300是将电池装在了底盘，高速过弯的时候侧倾不是特别明显。【耗电量】到现在18KWH/100KM，应该还算不错的，至少不用去加油，跑了五百公里，前几天刚充了第二次电。【舒适性】纯电模式下，隔音效果相当好，感觉自己坐在车里面就是一个独立体，...
秦                        2016款 秦EV300 旗舰型,大理 ?,2016年4月,32.36?万元,14.1?千瓦时/百公里1427?公里,5,5,4,5,5,5,5,5,上下班,购物,,,【最满意的一点】动力很足，开起来很得劲儿。不管是在市内还是郊外，跑起来都很帅气，不会像很多车样一到路况不好的地方后劲儿就不足了。【最不满意的一点】暂时还没发现有不满意的地方，反而是惊喜的地方挺多的。【空间】紧凑型车，4740*1770*1490的车身大小，高度上180的大个儿坐在车里不会憋屈，宽度上中等体型毫无压力，前后排的间距也合适，不会让人觉得束缚，视野也开阔，空间上加分。【动力】动力很充沛。第一次开这种纯电动的车，动力真让人惊喜，起步非常快，一点都不肉，行驶中动力也稳稳的，加速也很给力。【操控】操控绝对要点赞。纯电动车，行驶中动力没问题，比较稳，固定齿比变速箱也很牛，只有一个档位，操控完全不费力，再加上操控辅助装置，简直太轻松了，老婆开着也说这车好开。【电耗】每百公里14....
秦                        2016款 秦EV300 尊贵型,北京 ?,首资环耀,2016年6月,15.98?万元                                补贴后,4,4,5,4,5,4,5,3,上下班,购物,自驾游,,
秦                        2016款 秦EV300 旗舰型,揭阳 ?,2016年5月,30.52?万元,12.8?千瓦时/百公里1334?公里,5,5,5,5,5,5,4,5,上下班,自驾游,,,【最满意的一点】最满意的就是这辆车开起来很安静。不像汽油车似的起步很噪，而且在行驶过程中开着也确实不会觉得噪音大。隔音效果挺好的。【最不满意的一点】内饰细节可以再处理一下【空间】说不上，一般般吧，就正常车子那样，不大不小，再大的车子你东西太多也会嫌地方小的，我觉得比亚迪的空间设计还是可以的【动力】车子起步比较快，绿灯一亮就可以马上走，不肉。平时提速什么的完全不输汽油车，超车也没问题，能开挺快的。不过还是安全最重要啊。【操控】悬架不错，出去玩的时候开过一段山路，过坑的时候有晃动但是不是特别厉害。减震也可以，虽然不能说震感全无，但是在这一点上做的还是比较不错的。车里噪音没什么，不像汽油车，发动机的声音比较小，开起来很安静。风噪和胎噪也在可以接受的范围之内。多功能方向盘很实用，而且轻重感...
秦                        2016款 秦EV300 旗舰型,晋中 ?,2016年4月,30.55?万元,13.2?千瓦时/百公里2511?公里,5,5,5,5,5,4,5,5,上下班,自驾游,,,【最满意的一点】我这个人对新事物接受得比较快，在买车方面也是同样如此，对这种纯电动车来说，有些人还在观望，而我则会主动出击，因为我一直都认为这类低碳环保的车子将会是未来发展的新方向，另外，比亚迪-秦这款车的空间也不小，这也是我非常在意的。买来之后，同事们都说我还挺有眼光的，选择这种用电的车子，从节省用车成本来看也是非常不错的，这车子我算是买对了。【最不满意的一点】车子的尾部设计不是很喜欢，觉得有点乱，要是再能够简洁一些就好了。【空间】车子空间方面我绝对是非常满意的，因为这车子就我一个人用，平时有时接接我爸和我妈，他们乘坐在里面，空间大小一点没问题，特别是车子的后排空间要明显优于前排空间，后排的脚下空间更有优势，另外，车子的后备箱大小也完全够用，可以放置于不少东西。【动力】动力方面对我...
秦                        2016款 秦EV300 尊贵型,荆州 ?,荆州恒祥汽车,2016年6月,16.80?万元                                补贴后,4,5,5,5,4,5,4,5,上下班,购物,,,【最满意的一点】隔音很好，安静舒适，需要动力的时候秦从来不会拖后腿。【最不满意的一点】后备箱的电线都裸露着，这样真的没有问题吗？【空间】说空间大是不现实的，毕竟是紧凑型车子，前排座位调好之后，后排就有点紧张了。【动力】秦的强项就是动力，我觉得我从来没用到过极限。在高架上跑从来都是游刃有余，比起那些带T的要好开多了。动力真的是随叫随到，超车并线一气呵成，一点也不拖泥带水！【操控】指向很准，没有一点虚位，而且电池放在底盘中心，车身开着很稳。【耗电量】跑了没多长时间，也没充几天的电，我感觉电量还是不错的。【舒适性】真皮座椅的皮质不错，就是座位偏硬，包裹性也一般般，没有腰部支撑，必须垫一个腰靠才行。隔音相当好，没有发动机的噪音和震动，整个车开起来安静平稳。【外观】外观方面是萝卜青菜各...
秦                        2016款 秦EV300 尊贵型,金华 ?,金华鑫迪,2016年5月,16.78?万元                                补贴后,4,5,4,5,4,5,5,5,上下班,购物,,,【最满意的一点】配置高，动力强，全液晶脉速表真是太酷炫了有没有？！【最不满意的一点】我能说开的时间不够长，暂时没找到不满意的地方吗？【空间】一家人用完全足够了。前后两排的空间都足够了，就是感觉后备箱偏小一点。【动力】跑起来之后真的没人会相信这是个电动车，加速真是太强劲了，因为是电动车，所以加速的时候很是线性，比起汽油车要好开很多。【操控】指向很精准，就是过80迈之后，有些发飘，不是说车身很重的吗？【电耗】不用油，只用电，比起用油的要便宜好多，有啥不满足的？【舒适性】坐着还算不错，就是坐时间长了之后，腿部不能换姿势，很累。腰部支撑做的也不是特别好，好在隔音很好，基本上听不到外面的声音。【外观】帅气啊，比亚迪在设计上真的很大胆，借鉴了很多秦朝时期的风格，原创度百分之百。【内饰】...
秦                        2016款 秦EV300 尊荣型,荆州 ?,荆州恒祥汽车,2016年6月,18.00?万元                                补贴后,4,5,5,4,4,5,5,5,上下班,购物,,,【最满意的一点】动力，7.9秒加速真的不是说着玩的，而且还有推背感，提速感觉很明显。【最不满意的一点】舒适性上吧，座椅通风功能基本上感觉没啥用。【空间】前排还是很不错的，1.8m身高的人坐在里面一点压力也没有，后排就稍微有些局促了，毕竟是紧凑型车型，空间太大了估计也就不是这个价格了。【动力】真的是我最满意的一点，别看是纯电动车，但是动力上真的不输于那些带T的车型，因为也不需要换挡，所以动力输出很线性，跟汽油车完全不一样，开着感觉十分舒适。【操控】因为电池被安装在了底盘，所以驾驶的时候整车的中心都比较靠近中央，安全感很强。【耗电量】没有对比，目前是15kwh/100km，也不知道到底是高还是低，不过动能回收挺不错。【舒适性】座椅包裹性挺不错，感觉座椅有点偏硬，自带通风和加热两个功...
秦                        2016款 秦EV300 尊贵型,北京 ?,鹏天奥比亚迪,2016年10月,26.00?万元,3,5,5,5,4,4,4,5,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京市北方瑞鹏汽车,2016年7月,15.98?万元                                补贴后,3,4,3,2,3,2,2,3,上下班,自驾游,,,
秦                        2016款 秦EV300 旗舰型,北京 ?,北京鑫敏恒汽车,2017年3月,19.80?万元                                补贴后,5,5,3,3,4,4,4,5,上下班,接送小孩,,,【最满意的一点】300公里的历程比较准 电池衰减最低 不愧是做电池起家的【最不满意的一点】车体比较轻 操控性不够好 总感觉车飘的厉害【空间】满足家庭需要没有问题 三个大人一个孩子 足够用乘坐空间：前后排都比较宽松 很好 座椅有加热 有通风【动力】车身重量轻 电机供电不需要能量转换 动力十足 有跑车的推背感加速表现：加速绝对媲美一线跑车 电动车的加速相当给力【操控】方向盘发飘 操控性差 真的是差 开快点就感觉车飘的厉害雨雪泥泞路面：雨雪天 还是尽量不要开出去了 安全重要【电耗】走在北京最堵的路上 这个耗电还是可以接受的 三到四天一充电城市路段表现：城市综合路面正常他都可以应付 表现力可以【舒适性】毕竟是电动的 总感觉比油车薄 ...
秦                        2016款 秦EV300 尊贵型,北京 ?,北京环耀汽车,2017年5月,16.88?万元                                补贴后,4,5,5,5,5,5,5,4,上下班,购物,接送小孩,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京军鹏,2016年11月,16.88?万元                                补贴后,5,5,5,5,4,5,5,4,上下班,购物,接送小孩,,
秦                        2016款 秦EV300 尊贵型,廊坊 ?,北京鑫敏恒汽车,2017年3月,16.68?万元                                补贴后,5,5,5,5,5,5,5,5,上下班,,,,【最满意的一点】不用再去加油站排队了。【最不满意的一点】目前没有，后续发现了再写。【空间】空间够大，后备箱音响影响储物空间。【动力】ECO动力感觉相当于1.6排气量的自动挡油车，SPORT相当于2.0T的性能。对于上下班来说，ECO够用了。SPORT只用来偶尔炫耀。【操控】低速行驶，方向盘很轻，根本不像驾驶一台自重将近2吨的车。【电耗】提车后去了一趟张家口，发现上下坡续航较之平坦路面差异明显。平路，基本可以保证300公里续航，上坡超级费电。估算了一下，上一个20度的陡坡，每行驶几十米就要消耗1公里续航。像张家口这样的一路上山偶尔有一小段平路的路况，大约每行驶250公里就要消耗300公里续航。下坡路段，由于动能回收的缘故，续航是增加的，下一次八达岭，...
秦                        2016款 秦EV300 尊荣型,北京 ?大兴,京通比亚迪,2017年2月,17.66?万元                                补贴后,5,5,5,4,5,5,5,5,上下班,购物,,,【最满意的一点】绝对性价比高，车子综合表现就我来看很很优异的，动力车子是很充足的，油耗也相当的经济【最不满意的一点】空间表现没有达到我对大空间的追求【空间】车子是个紧凑型车，和中型车的空间大小肯定比不了，和我的要求还是有点差距，好在车子驾驶位还比较合适，后排也基本可以应付，后备箱出乎意料还挺大的【动力】车子动力很充足，秦这款车子电机功率比之前的老款功率又大了，动力很强大，而且输出的平顺性非常好，城市驾驶很舒服动力也很充足【操控】车子还是比较智能的，方向盘是电动调节的，还有后视镜折叠，操控起来很方便，方向盘转向很精准，也比较轻【电耗】车子续航很不错，我今天出差回来，电池电量还剩余15%的时候把车停在公司地库，续航里程还剩42公里，这样算下来续航里程可...
秦                        2016款 秦EV300 豪华型,北京 ?,北京鑫敏恒汽车,2017年3月,16.90?万元,5,5,5,2,5,5,5,5,上下班,购物,,,【最满意的一点】续航还过得去 能用【最不满意的一点】太贵【空间】我170 日常俩日。平时拉个顺风车。车内很宽敞【动力】动力没的说 提速迅猛加速表现：直线提速s档提速非常迅速。当然电耗也非常迅速动力平顺性：固定齿轮比 加上电动机特性造就了新能源汽车的平顺性。没得说【操控】操控还可以【电耗】目前形势了700公里。综合电耗奖金20冬季续航：冬天还没经历过 就当ev150开吧 心里好舒服滴啊【舒适性】【外观】轮毂突出。今天早上停车的时候就给刮了 设计很不合理【内饰】内饰还可以手感材质：车内大部分都是硬塑料的。17w的车 呵呵 .方向手感还是不错的仪表中控：仪表盘还可以 可惜不支持自定义糟践这个大屏幕了【性价比...
秦                        2016款 秦EV300 尊贵型,西安 ?,西安奥通,2016年10月,14.78?万元                                补贴后,4,5,5,5,4,5,4,4,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京环耀汽车,2016年9月,15.98?万元                                补贴后,4,5,4,5,4,3,5,4,上下班,,,,
秦                        2016款 秦EV300 尊荣型,北京 ?,北京市北方瑞鹏汽车,2016年7月,18.00?万元                                补贴后,3,3,4,4,3,2,4,1,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京鑫敏恒瑞鑫,2016年7月,15.98?万元                                补贴后,5,5,4,4,4,4,4,5,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京润城比亚迪4S店,2016年6月,15.98?万元                                补贴后,3,4,4,2,3,2,3,1,上下班,,,,【最满意的一点】提速【最不满意的一点】底盘异响严重【空间】一般中规中矩吧【动力】80公里以下提速迅猛，以上就不行了经济模式，运动模式赞一个。【操控】悬挂支撑怎么说不到1200公里就更换了减震和元宝梁，让我怎么评价？【电耗】不如标称宣传的省电【舒适性】座椅很不舒服，除了驾驶席【外观】还不错，尾灯设计太二了吧，做工还是比较粗糙大边喷漆不均匀，油箱...
秦                        2016款 秦EV300 尊贵型,北京 ?通州,北京市北方瑞鹏汽车,2016年10月,15.98?万元                                补贴后,5,5,5,4,4,5,4,5,上下班,购物,自驾游,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京环耀汽车,2016年6月,26.98?万元,5,5,4,4,4,4,3,3,上下班,自驾游,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,徽京通达汽车,2016年7月,26.98?万元,5,5,5,5,5,5,5,5,上下班,,,,
秦                        2016款 秦EV300 尊贵型,深圳 ?,深圳金环怡,2016年7月,13.50?万元                                补贴后,4,5,5,2,4,3,4,5,上下班,购物,,,
秦                        2016款 秦EV300 尊荣型,北京 ?,北京环耀汽车,2016年6月,17.78?万元                                补贴后,5,4,3,3,3,3,3,3,上下班,购物,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京鑫敏恒瑞鑫,2016年6月,16.50?万元                                补贴后,3,5,3,5,5,3,4,3,上下班,自驾游,,,【最满意的一点】动力7.9秒【最不满意的一点】售后服务时间太长【空间】后备箱开口小【动力】没的说，给力【操控】操纵轻盈，但是悬挂调教有问题，其他还好。【电耗】一公里一毛钱，还要咋地。【舒适性】各种配置齐全，360度影像和云服务最满意。【外观】杀马特风格，希望比亚迪能造出沉稳大气的外形，多请几个好设计师。【内饰】一眼看上去不错，别翻开看，座椅...
秦                        2016款 秦EV300 尊贵型,深圳 ?,深圳金环怡,2016年9月,13.73?万元                                补贴后,3,4,4,5,2,2,2,5,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京鑫敏恒汽车,2016年6月,15.98?万元                                补贴后,4,5,2,5,3,2,4,4,上下班,自驾游,接送小孩,购物,【最满意的一点】续航里程比较足，符合标称的300公里，人性化配置齐全，使用便捷。【最不满意的一点】底盘舒适性和操控性有待加强，平坦路面颠簸感较明显，过弯侧倾大。【空间】乘坐空间算是刚刚够用，不算富余，尤其是后排，加上儿童座椅再坐两个大人就挤了。【动力】加速很给力【操控】操控有待加强，指向较模糊，悬挂舒适性较差，过弯侧倾明显【电耗】纯电费用低是最大特点【舒适性】对座椅舒适性比较满意，对得起这个定位【外观】比亚迪的外观设计有待加强，车身结构仍有严重的老款花冠痕迹，尾灯设计不大气，前脸配色没亮点。【内饰】中控台软性内饰比较不错，按钮密集但习惯以后很方便【性价比】在目前的新能源车系里，在舒适性和续航性能及价格之间的平衡做的比...
秦                        2016款 秦EV300 尊荣型,北京 ?,2016年8月,17.98?万元                                补贴后,18.8?千瓦时/百公里1200?公里,5,5,5,5,5,5,4,5,上下班,购物,自驾游,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京环耀汽车,2016年6月,16.00?万元                                补贴后,4,5,4,5,3,3,4,5,上下班,,,,
秦                        2016款 秦EV300 尊荣型,北京 ?,北京环耀汽车,2016年6月,18.00?万元                                补贴后,2,4,1,3,3,1,3,3,上下班,,,,
秦                        2016款 秦EV300 尊荣型,北京 ?,北京福铃丰瑞汽车,2016年8月,17.98?万元                                补贴后,4,4,3,4,4,4,4,4,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京市北方瑞鹏汽车,2016年7月,15.98?万元                                补贴后,4,5,4,5,4,4,4,4,上下班,,,,
秦                        2016款 秦EV300 尊荣型,北京 ?,2016年8月,29.98?万元,150?公里,4,5,3,5,4,4,5,5,上下班,,,,【最满意的一点】出众动力和一贯的高配置【最不满意的一点】转向太轻，动力强劲操控却一般，尾灯晚上挺好看，白天杀马特。【空间】紧凑车，够用就行，后排不怎么坐人。【动力】仪表盘上自带加速计时，够自信够装B了吧？开起来地板电确实跟爆发后的涡轮一样强悍，这点确实做的很出彩。【操控】方向盘运动模式还是轻，太轻了。。对女司机比较友好吧只能说。悬挂一般，韧性不够，总体操控信心不强。【电耗】电耗～没怎么关注，毕竟使用成本摆在这，也懒得看数字了。【舒适性】车速在70之前很安静，没有发动机的轰鸣声。但是车速提高了以后各种噪音就接踵而至，突然变得很明显了。【外观】前脸7分，车身腰线5分，尾灯4分（白天1分晚上7分）【内饰】中控台使用了一般的软性材质，摸起来没有什么高级感。值得一提的是，按键的阻尼可...
秦                        2016款 秦EV300 尊贵型,北京 ?,北京润城比亚迪4S店,2016年7月,15.98?万元                                补贴后,4,4,4,4,4,5,4,4,上下班,,,,【最满意的一点】车内很安静，外观时尚大气，尾部辨识度高【最不满意的一点】底盘太低，时速低于20公里有跳动感，其次刹车不习惯【空间】空间还可以，头部还有一拳距离，后排空间尚可，后备箱也够大【动力】电机提速可以，一直用eco模式，运动模式估计会更快【操控】方向盘太轻，刹车有点肉，可能与能量回收有关【电耗】电车无油耗，但目前夏天正常上下班电耗还是很高，百公里19千瓦时【舒适性】座椅电动调节比较方便，舒适度可以【外观】外观尚可【内饰】新车味道很大，内饰材质一般【性价比】价格偏高【为什么最终选择这款车？】续航高，目前市面上可接受价格区间内续航最高的了【其他描述】
秦                        2016款 秦EV300 尊贵型,北京 ?,北京瑞嘉,2016年7月,16.68?万元                                补贴后,3,5,5,3,3,3,4,4,上下班,购物,,,
秦                        2016款 秦EV300 尊荣型,北京 ?,北京鑫敏恒汽车,2016年6月,27.98?万元,4,4,4,4,3,4,4,4,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,2016年7月,15.73?万元                                补贴后,18.0?千瓦时/百公里,4,5,4,4,4,3,1,4,上下班,,,,【最满意的一点】动力，，内饰都很棒，新车味道也很小，就是要天天惦记续航里程，烦躁烦躁烦躁。跑起来空调很棒，开到一档就可以。费用还可以，目前是用快充，期待自用的充电桩建好，自己装了记录仪和胎压还不错。目前没啥大问题……【最不满意的一点】刚开始跑起来加速的时候有异响，过几天又没了，醉了，也不知道什么情况，雨刷有时候也不好用，过几天自己换一个去，保险费用按26万算的，有些贵。整体来说还不错……期待没啥毛病吧【空间】空间还不错，同事180坐进去没压力【动力】加速秒杀各种不服【操控】还比较舒适【电耗】……【舒适性】腰部支撑不怎么好【外观】尾灯尾灯尾灯！！！【内饰】还可以【性价比】明年国家补贴下去了，车价会不会降，拭目以待【为什么最终选择这款车？】北京摇不到油号，这个算理由么？【...
秦                        2016款 秦EV300 尊贵型,北京 ?,天通利华,2016年6月,15.98?万元                                补贴后,4,5,4,4,4,3,3,4,上下班,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,首资环耀,2016年7月,15.98?万元                                补贴后,5,5,5,5,4,4,5,5,上下班,,,,【最满意的一点】起步很快，真的很快，还没输过，科技感很强【最不满意的一点】目前没有，非要说的话，就是后备箱没挡板【空间】可能是我比较高，192，所以感觉一般，坐直顶脑袋，但也算不错了，后备箱也不小！【动力】必须吐槽一下，动力充足，起步很不快，想超谁就超谁。我说的是起步啊，上了80就比较费电了，所以我基本都是匀速开【操控】方向盘比较轻，市区开比较好。高速得话我感觉还是重点好【电耗】目前为止百公里耗电15度，看论坛上还能低，和人民币百公里12元【舒适性】可能是仿皮，所以坐着没有真皮座椅有实质感，但是比较软，还算是舒服吧【外观】整体不错，前脸很犀利，后面为秦朝弓箭的设计，但做的有些夸张，所以还不是很让人接受，侧面不错，很运动【内饰】科技感很强，也体现了电动车的特点，比亚迪也算国产...
秦                        2016款 秦EV300 尊贵型,北京 ?,2016年7月,15.98?万元                                补贴后,18.0?千瓦时/百公里500?公里,3,5,1,4,3,3,3,4,接送小孩,上下班,购物,,
秦                        2016款 秦EV300 尊荣型,北京 ?,北京环耀汽车,2016年7月,19.00?万元,4,5,2,3,4,3,3,5,上下班,,,,【最满意的一点】 动力不错，价格合适，配置丰富【最不满意的一点】 没有手机互联。后排没出风口。 车尾太丑。车轮和车身之间距离太大显得轮子很小，车身比例很！不！协！调！【空间】我175， 感觉还可以【动力】嗷嗷的。之前长期开过3辆车，2.5的高尔夫（美版的），2.5的皇冠和2.4的老奥迪。比亚迪完胜。【操控】个人不太喜欢。方向盘太轻并且虚位很多。【耗电量】城市里开基本够了【舒适性】不错。有屁股通风【外观】丑逼【内饰】塑料感强，设计略显凌乱。不过零零碎碎的小储物空间挺多，点赞【性价比】不错，可以接受【其它描述】基本符合预期【为什么最终选择这款车】京牌
秦                        2016款 秦EV300 尊贵型,北京 ?,2016年6月,15.98?万元                                补贴后,19.0?千瓦时/百公里400?公里,4,5,4,5,5,4,4,5,上下班,购物,,,
秦                        2016款 秦EV300 尊贵型,北京 ?朝阳,瑞丰盛汽车,2016年6月,26.98?万元,4,4,5,5,5,5,5,5,上下班,购物,,,【最满意的一点】不摇号、不限行，没有大于这两个的优点了吧。【最不满意的一点】尊贵的内饰比起4S看的旗舰确实有差异，在接受范围内。本来提回来车觉得都挺不错，结果安全带出了点小问题让我很不爽，按下去竟然弹不起来，真是醉了。。。【空间】1.78无压力，方向盘偏低，偶尔刹车会碰腿。（已调到最高）【动力】最高速度偏低，高速超车时有些拖沓。【操控】方向盘非常轻，很舒服。【电耗】说电耗吧，夏天开空调比预计还好点。【舒适性】很安静，一点汽油味都没有??不会晕车【外观】轮胎很漂亮 很漂亮 很漂亮。【内饰】中规中矩【性价比】个人觉得最好，土豪左转特斯拉。【为什么最终选择这款车？】买之前也是粗略看了一遍电车，大致感觉就是北汽后排低（听说还好趴窝）、江淮使用三元锂电池（这电池最近出事比较多），...
秦                        2016款 秦EV300 尊荣型,深圳 ?,深圳金环怡,2016年5月,15.73?万元                                补贴后,3,5,5,4,4,3,3,4,上下班,,,,
秦                        2016款 秦EV300 旗舰型,深圳 ?,深圳粤迪,2016年4月,19.95?万元                                补贴后,4,4,5,2,5,3,4,3,上下班,购物,自驾游,商务接送,【最满意的一点】 操控性很好。【最不满意的一点】 价钱偏高【空间】 后排座椅空间还是挺大的。【动力】 动力很足。电动车的扭矩都很大。但高速后，加速无力【操控】 不错。方向盘非常轻。对新手来说，简直是福音。【耗电量】 较高。冬天夏天开空调，很难做到标称是300KM。 【舒适性】 很舒服。因为车身较重，开起来给人一种很稳当的感觉【外观】还行，但后灯实在难看。【内饰】 内饰很舒服。特别是全皮的座椅。【性价比】 一般般。 这个价位可以买到很不错的油车。【其它描述】适合平时上下班，短途旅游，周末家庭聚会。【为什么最终选择这款车】可以上深圳牌。
秦                        2016款 秦EV300 尊贵型,深圳 ?,深圳金环怡,2016年4月,13.50?万元                                补贴后,3,5,4,5,1,4,3,4,上下班,,,,【最满意的一点】续航足，动力好【最不满意的一点】车内异响严重 副驾驶空间太小 比亚迪售后不好【空间】除了副驾驶偏小 其他满意【动力】6.9秒 实测 牛逼【操控】普通【耗电量】续航里程足足的~开空调260公里左右【舒适性】座椅不舒服【外观】一般【内饰】做工普通【性价比】厂家指导价虚高 有骗补嫌疑~26.68万做的车子跟速锐差不多水平【其它描述】凑合着开吧 跟其他品牌比起来 比亚迪还算厚道【为什么最终选择这款车】300公里续航比亚迪在迪车会论坛删帖的速度很快  售后反应的速度很慢
秦                        2016款 秦EV300 尊贵型,北京 ?,2016年6月,15.98?万元                                补贴后,,4,4,4,4,4,4,4,3,购物,,,,
秦                        2016款 秦EV300 尊贵型,北京 ?,北京环耀汽车,2016年6月,15.98?万元                                补贴后,5,5,4,4,4,5,4,4,上下班,,,,【最满意的一点】内饰，空间，动力。本人185，体重190斤。坐进去毫无压力，前后排都够用。【最不满意的一点】提车慢，三月定的现在才提。屁股丑的想让别人捡肥皂。【空间】比我壮的应该不多，满足壮汉需求【动力】至少比我家2.4的雅阁快，相当于2.0t 不夸张【操控】方向太轻了【电耗】新车电耗比较不准 不好评价 不是暴力驾驶300问题不大【舒适性】没那多银子买的低配，凑合吧【外观】满分100 屁股进去95【内饰】内饰无敌，爆北汽 爆帝豪【性价比】15.98 买秦 只能说是不算亏 一个油号牌照太贵【为什么最终选择这款车？】北汽eu260，内饰做的想哭，而且续航260，除了外观不难看，真搞不懂怎么和比亚迪比，我就是北京人，真的看不上北汽，直接pass。帝豪空间太小又是第一次制造动车...
